E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
11.8963, 7.82924, 0, 33.2126, 0.00562391
12.186, 7.82924, 0, 33.5023, 0.00284009
10.1584, 7.82924, 3.28955e-29, 31.4747, 0.00290214
14.599, 7.82924, 0, 35.9154, 0.00546788
8.55009, 7.82924, 0, 29.8664, 0.00243632
9.26649, 7.82924, 3.28955e-29, 30.5828, 0.00430852
10.0253, 7.82924, 0, 31.3416, 0.00260539
11.7608, 7.82924, 0, 33.0771, 0.00348007
10.0286, 7.82924, 0, 31.3449, 0.00409115
9.57822, 7.82924, 0, 30.8945, 0.00516098
9.16325, 7.82924, 0, 30.4796, 0.00747148
10.1744, 7.82924, 0, 31.4907, 0.00449271
8.4397, 7.82924, 0, 29.756, 0.00194985
9.17288, 7.82924, 0, 30.4892, 0.0175101
8.78703, 7.82924, 0, 30.1034, 0.00365903
10.7345, 7.82924, 0, 32.0509, 0.00861961
9.333, 7.82924, 0, 34.9122, 0.00587537
10.6153, 7.82924, 0, 36.1945, 0.00425031
13.2783, 7.82924, 0, 38.8576, 0.00929703
12.3671, 7.82924, 0, 37.9464, 0.00519935
6.93774, 7.82924, 0, 32.517, 0.00251778
8.97512, 7.82924, 0, 34.5544, 0.00504317
10.738, 7.82924, 0, 36.3173, 0.00172904
8.47781, 7.82924, 0, 34.0571, 0.00436876
10.0134, 7.82924, 0, 35.5926, 0.00187602
8.5962, 7.82924, 0, 34.1754, 0.00565857
8.8991, 7.82924, 0, 34.4784, 0.00190411
14.1814, 7.82924, 0, 39.7607, 0.00416663
10.0153, 7.82924, 0, 35.5946, 0.00103654
11.8334, 7.82924, 0, 37.4127, 0.00535081
12.5694, 7.82924, 0, 38.1487, 0.00344744
10.7955, 7.82924, 0, 36.3747, 0.00289099
9.45648, 7.82924, 0, 35.0357, 0.00414512
11.3676, 7.82924, 0, 36.9468, 0.00380469
11.8819, 7.82924, 0, 37.4612, 0.00634457
8.34269, 7.82924, 0, 33.9219, 0.00409863
9.58918, 7.82924, 0, 40.7787, 0.00182638
11.1156, 7.82924, 0, 42.3052, 0.00222518
7.55372, 7.82924, 0, 38.7433, 0.00294664
10.4782, 7.82924, 0, 41.6678, 0.00302388
11.0938, 7.82924, 0, 42.2834, 0.00288291
6.76327, 7.82924, 0, 37.9528, 0.0024875
