E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
33.527, 779.963, 3.87558e-11, 825.271, 0.0177331
40.7662, 779.963, 5.3665e-11, 832.51, 0.0117363
41.6191, 779.963, 4.90565e-11, 833.363, 0.0181956
36.2905, 779.963, 7.79687e-11, 828.035, 0.016666
38.6929, 779.963, 9.0537e-11, 830.437, 0.0185194
38.2734, 779.963, 7.9913e-11, 830.018, 0.0174166
41.5916, 779.963, 9.17641e-11, 833.336, 0.0373613
34.9502, 779.963, 1.24953e-10, 826.694, 0.0225024
34.2661, 779.963, 1.08338e-10, 826.01, 0.048263
35.9265, 779.963, 1.21529e-10, 827.671, 0.0235867
35.7227, 779.963, 7.7617e-11, 827.467, 0.019198
35.6014, 779.963, 1.07938e-10, 827.346, 0.0244477
35.4289, 779.963, 1.33346e-10, 827.173, 0.0229908
42.0897, 779.963, 1.44893e-10, 833.834, 0.0162112
40.0292, 779.963, 1.32096e-10, 831.773, 0.0700354
36.0401, 779.963, 1.00638e-10, 827.784, 0.029737
33.5861, 779.963, 1.14782e-10, 825.33, 0.0255223
43.7838, 779.963, 1.09705e-10, 835.528, 0.0127642
42.1215, 779.963, 7.85395e-11, 833.866, 0.0161408
33.0466, 779.963, 1.35858e-10, 824.791, 0.0125715
43.5175, 779.963, 1.51163e-10, 835.262, 0.0485909
37.7371, 779.963, 1.28154e-10, 829.481, 0.011179
39.8997, 779.963, 1.31366e-10, 831.644, 0.0116661
44.0305, 779.963, 1.66839e-10, 835.775, 0.0192294
45.7154, 779.963, 8.97272e-16, 837.459, 0.0417421
44.1861, 779.963, 4.89531e-15, 835.93, 0.0445083
36.1171, 779.963, 9.45661e-15, 827.861, 0.021926
37.2276, 779.963, 1.37917e-14, 828.972, 0.0311832
41.0402, 779.963, 2.10603e-14, 832.784, 0.0208975
42.0519, 779.963, 2.75433e-14, 833.796, 0.0277976
38.0369, 779.963, 2.81088e-14, 829.781, 0.0358135
41.3977, 779.963, 2.94046e-14, 833.142, 0.00805883
37.5254, 779.963, 3.64672e-14, 829.269, 0.0274221
38.6308, 779.963, 4.08976e-14, 830.375, 0.0333974
40.5528, 779.963, 5.16053e-14, 832.297, 0.023955
35.9988, 779.963, 4.66002e-14, 827.743, 0.0110674
34.4614, 779.963, 6.30362e-14, 826.206, 0.0222367
42.1599, 779.963, 6.19669e-14, 833.904, 0.0254603
39.8756, 779.963, 5.90209e-14, 831.62, 0.0134627
40.8837, 779.963, 7.43505e-14, 832.628, 0.0253112
37.7681, 779.963, 4.61719e-14, 829.512, 0.027552
45.8293, 779.963, 7.83347e-14, 837.573, 0.0250953
34.5232, 779.963, 6.53117e-14, 826.267, 0.0268765
38.0733, 779.963, 7.06784e-14, 829.817, 0.0135448
39.4448, 779.963, 9.62704e-14, 831.189, 0.0471327
37.1453, 779.963, 7.36553e-14, 828.889, 0.0396636
42.3969, 779.963, 9.8094e-14, 834.141, 0.0320746
31.7913, 779.963, 7.45439e-14, 823.535, 0.0298123
40.4749, 779.963, 8.87053e-14, 832.219, 0.0178988
40.5612, 779.963, 7.52436e-14, 832.305, 0.0135026
33.9246, 779.963, 8.17863e-14, 825.669, 0.0575963
43.0917, 779.963, 8.05163e-14, 834.836, 0.0711641
37.4062, 779.963, 1.08641e-13, 829.15, 0.0264496
36.1634, 779.963, 7.11396e-14, 827.907, 0.0278796
42.9864, 779.963, 8.35279e-14, 834.731, 0.0133887
39.3235, 779.963, 9.64581e-14, 831.068, 0.0302907
44.1432, 779.963, 8.03392e-14, 835.887, 0.0321835
